Date,Close
2017-01-03,249.0185089
2017-01-04,243.9325409
2017-01-05,246.2755127
2017-01-06,245.7154846
2017-01-09,246.3440857
2017-01-10,249.1213837
2017-01-11,248.2527618
2017-01-12,247.6241608
2017-01-13,249.2471008
2017-01-16,246.0126495
2017-01-17,238.0122375
2017-01-18,236.0235596
2017-01-19,236.286438
2017-01-20,234.4806213
2017-01-23,232.2176514
2017-01-24,234.8235016
2017-01-25,232.537674
2017-01-27,234.3206177
2017-01-30,238.8237
2017-01-31,238.9151306
2017-02-01,239.9323273
2017-02-02,238.5265503
2017-02-03,236.2750092
2017-02-06,238.1036682
2017-02-07,235.6463928
2017-02-08,234.3320465
2017-02-09,236.0692749
2017-02-10,235.4749603
2017-02-13,235.4063873
2017-02-14,239.9666138
2017-02-15,240.309494
2017-02-16,244.0125427
2017-02-17,245.8412018
2017-02-20,245.8183441
2017-02-21,248.7442169
2017-02-22,276.0141907
2017-02-23,270.3567505
2017-02-27,283.1917114
2017-02-28,282.997406
2017-03-01,282.1859436
2017-03-02,282.7002563
2017-03-03,287.6833496
2017-03-06,298.3810425
2017-03-07,298.2896118
2017-03-08,295.1466064
2017-03-09,294.1293945
2017-03-10,292.963623
2017-03-14,294.7579956
2017-03-15,298.2896118
2017-03-16,296.6209717
2017-03-17,297.3181458
2017-03-20,292.7693481
2017-03-21,288.8834229
2017-03-22,287.946228
2017-03-23,291.0549622
2017-03-24,294.1293945
2017-03-27,285.9804077
2017-03-28,284.7575073
2017-03-29,287.249054
2017-03-30,290.4492188
2017-03-31,301.9355164
2017-04-03,314.2218628
2017-04-05,323.4451904
2017-04-06,328.8168945
2017-04-07,321.5250854
2017-04-10,315.7533875
2017-04-11,313.6961365
2017-04-12,309.5016174
2017-04-13,311.9703369
2017-04-17,318.1535034
2017-04-18,313.2046814
2017-04-19,312.8846436
2017-04-20,313.0560913
2017-04-21,320.5879211
2017-04-24,323.9938049
2017-04-25,327.5139771
2017-04-26,323.7766418
2017-04-27,322.1879883
2017-04-28,318.9192505
2017-05-02,313.284668
2017-05-03,313.1818237
2017-05-04,310.404541
2017-05-05,303.6156006
2017-05-08,302.0498047
2017-05-09,304.0956421
2017-05-10,310.6673889
2017-05-11,310.7702637
2017-05-12,308.690155
2017-05-15,307.2386475
2017-05-16,310.0273743
2017-05-17,309.2958984
2017-05-18,303.4098816
2017-05-19,301.4669189
2017-05-22,302.6784058
2017-05-23,298.4267578
2017-05-24,296.6323853
2017-05-25,297.7181702
2017-05-26,305.6842957
2017-05-29,310.1645203
2017-05-30,310.7245483
2017-05-31,306.4614563
2017-06-01,303.6156006
2017-06-02,302.8155518
2017-06-05,303.8670349
2017-06-06,300.0839844
2017-06-07,306.072876
2017-06-08,304.4042053
2017-06-09,305.3185425
2017-06-12,301.6040649
2017-06-13,300.4382935
2017-06-14,310.3016663
2017-06-15,316.3476868
2017-06-16,317.4563293
2017-06-19,322.1308289
2017-06-20,322.839447
2017-06-21,325.0452881
2017-06-22,327.4797058
2017-06-23,328.2111511
2017-06-27,328.5083008
2017-06-28,319.673584
2017-06-29,318.3477783
